"author","comment","publishedAt","score"
"Oganteng Oganteng","good","2025-12-09 10:08:52","5"
"abah jero","parah jmo masa udh d update ga bisa d buka","2025-12-09 10:06:34","1"
"Gugah Purbo Prasetio","top","2025-12-09 10:05:54","5"
"Rizqi Arsyil Majid","mudah dan tidak ribet","2025-12-09 10:04:29","5"
"Fikri lukmanul Khakim SL.05","good","2025-12-09 09:59:12","4"
"Ari Kurniawan","bpjs ketenagakerjaan memang yg terbaik","2025-12-09 09:46:05","5"
"Suryanto Kentho","diupdate malah gak bisa dibuka","2025-12-09 09:41:59","1"
"Wahyu Ramadan","terbaik","2025-12-09 09:39:57","5"
"Purnomo","maaf kalau kita ambil 10 persen apa ada potongan pajak saat pengambilan jhy. berapa persen terimakasih.","2025-12-09 09:37:06","5"
"Uus Suherman","JMO aplikasi keren, pelayanan yang memuaskan.👍","2025-12-09 09:36:46","5"
"Fadli","bagus","2025-12-09 09:34:14","5"
"Yumna Humairaputri","hebat","2025-12-09 09:30:57","4"
